id,first_name,last_name,email,shoe_type,shoe_material,shoe_color,price
36029,Mary,Barnett,Mary.Barnett@gmail.com,wedges,leather,white,309
28879,Jose,Sherman,JS1110@gmail.com,sandals,faux-leather,brown,313
91689,Joseph,Copeland,JCopeland1978@gmail.com,ballet flats,leather,brown,314
74878,Ruth,Morales,RM4840@gmail.com,stilettos,leather,brown,319
10538,Gregory,Leach,Gregory.Leach@gmail.com,wedges,faux-leather,navy,319
36038,Nicole,Guerra,NicoleGuerra24@gmail.com,wedges,fabric,navy,324
12323,David,Contreras,David.Contreras@gmail.com,wedges,fabric,navy,326
11024,Theresa,Robbins,TheresaRobbins21@gmail.com,sandals,fabric,red,326
67834,Amy,Baldwin,ABaldwin1978@gmail.com,stilettos,faux-leather,black,326
23618,Pamela,Wolf,PamelaWolf46@yahoo.com,ballet flats,leather,navy,328
94538,William,Duran,WD5804@gmail.com,wedges,fabric,navy,328
12868,Michelle,Calderon,Michelle.Calderon@hotmail.com,sandals,leather,white,328
76642,Ryan,Clarke,RC5922@gmail.com,stilettos,fabric,brown,329
49435,Brenda,Brock,BB4163@gmail.com,stilettos,faux-leather,black,330
67701,Douglas,Barrett,Douglas.Barrett@gmail.com,wedges,faux-leather,brown,334
14281,Kenneth,Fitzgerald,KennethFitzgerald35@gmail.com,ballet flats,faux-leather,navy,335
31432,Daniel,Briggs,DB7755@gmail.com,ballet flats,fabric,navy,335
58309,Henry,Nichols,Henry.Nichols@gmail.com,wedges,fabric,red,335
49338,Larry,Dixon,Larry.Dixon@outlook.com,wedges,leather,brown,338
62617,Alan,Hoffman,Alan.Hoffman@gmail.com,stilettos,leather,white,338
65110,Russell,Morrow,RM7744@gmail.com,stilettos,leather,red,339
73565,Michelle,Vaughan,MVaughan1980@gmail.com,stilettos,fabric,brown,341
45194,Laura,Reese,LR3650@outlook.com,wedges,faux-leather,brown,343
15964,Charles,Buchanan,CharlesBuchanan97@gmail.com,sandals,faux-leather,black,346
64285,Gregory,Clements,Gregory.Clements@outlook.com,stilettos,faux-leather,brown,353
42499,Richard,Wall,Richard.Wall@gmail.com,ballet flats,leather,red,353
68081,Walter,Blackburn,WBlackburn1987@gmail.com,sandals,leather,brown,354
61010,Daniel,Pitts,DP4131@gmail.com,sandals,fabric,navy,355
86911,Louis,Hendricks,Louis.Hendricks@gmail.com,wedges,fabric,brown,355
12120,Douglas,Velez,DV8433@gmail.com,sandals,fabric,white,357
24881,Marie,Callahan,Marie.Callahan@gmail.com,wedges,leather,navy,358
91329,Tiffany,Bryant,TB2982@outlook.com,ballet flats,leather,navy,358
21781,Jeffrey,Graves,JG9709@gmail.com,wedges,leather,white,359
67869,Madison,Santiago,MadisonSantiago65@gmail.com,wedges,leather,navy,361
46058,Jesse,Beard,JB7732@outlook.com,ballet flats,leather,brown,363
41158,Elizabeth,Duffy,ED4195@gmail.com,ballet flats,leather,navy,364
64126,Marilyn,Schneider,MS6235@gmail.com,stilettos,leather,navy,366
12578,Gary,Matthews,GaryMatthews3@gmail.com,wedges,faux-leather,white,366
91114,Peter,Harding,PH5153@outlook.com,ballet flats,faux-leather,brown,367
40209,Keith,Small,KSmall1972@hotmail.com,ballet flats,faux-leather,red,368
95910,Roger,Patel,RPatel1977@gmail.com,wedges,faux-leather,navy,376
38225,Billy,Mcfadden,BM9740@gmail.com,wedges,faux-leather,red,376
93079,Kevin,Lara,KevinLara29@hotmail.com,sandals,leather,red,377
73531,Bryan,Coffey,BCoffey1979@gmail.com,ballet flats,faux-leather,navy,379
90461,Larry,Mccormick,Larry.Mccormick@gmail.com,sandals,fabric,brown,383
32521,Philip,Watson,Philip.Watson@gmail.com,sandals,fabric,red,384
15632,Justin,Singleton,JS6672@gmail.com,stilettos,faux-leather,red,388
17293,Jeffrey,Giles,JGiles1977@gmail.com,sandals,fabric,brown,390
51599,Roger,Cameron,RCameron1990@gmail.com,ballet flats,leather,red,395
48127,Benjamin,Dale,BDale1997@gmail.com,ballet flats,faux-leather,navy,397
81484,Nicholas,Lawson,NicholasLawson27@gmail.com,stilettos,fabric,brown,399
36852,Evelyn,Sellers,EvelynSellers10@gmail.com,wedges,leather,white,400
33804,Kayla,Bray,KaylaBray28@gmail.com,ballet flats,faux-leather,brown,400
48045,Matthew,Morris,MM2906@gmail.com,wedges,leather,brown,401
76050,Austin,Maldonado,Austin.Maldonado@gmail.com,wedges,leather,navy,402
59855,Tyler,Dillon,TylerDillon24@gmail.com,sandals,faux-leather,red,403
55541,Catherine,Wiggins,CW4370@gmail.com,ballet flats,fabric,black,404
35832,Eugene,James,EJ2296@gmail.com,wedges,leather,brown,407
50348,Alexis,Noble,AlexisNoble82@gmail.com,wedges,leather,navy,411
93197,Jean,Callahan,JeanCallahan82@gmail.com,sandals,fabric,brown,411
38069,Douglas,Dodson,DDodson1994@hotmail.com,stilettos,faux-leather,black,411
56261,Tyler,Carroll,Tyler.Carroll@outlook.com,ballet flats,leather,navy,411
52535,Bruce,Frazier,BruceFrazier48@gmail.com,stilettos,leather,brown,412
49697,Diane,Vargas,Diane.Vargas@gmail.com,stilettos,fabric,red,415
51311,Donald,Delgado,Donald.Delgado@gmail.com,ballet flats,fabric,red,418
24578,Michael,Drake,MichaelDrake13@gmail.com,sandals,fabric,red,419
98468,Logan,Dickerson,LDickerson1990@gmail.com,sandals,leather,brown,421
94856,Juan,Hall,JuanHall82@gmail.com,stilettos,fabric,red,427
95702,Juan,Rogers,JR9106@gmail.com,ballet flats,leather,red,429
95782,Deborah,Mclaughlin,DM2900@gmail.com,wedges,leather,white,433
85377,Judith,Levine,JudithLevine16@gmail.com,stilettos,leather,navy,446
84457,Katherine,Talley,Katherine.Talley@gmail.com,ballet flats,fabric,red,446
29115,Timothy,Drake,TDrake1980@gmail.com,wedges,leather,red,446
82234,Terry,Baxter,TerryBaxter23@outlook.com,ballet flats,leather,navy,448
45645,Patricia,Mccoy,Patricia.Mccoy@gmail.com,stilettos,faux-leather,white,448
11094,Judith,Palmer,JPalmer1978@outlook.com,ballet flats,faux-leather,white,457
29387,Laura,Pate,LPate1980@gmail.com,sandals,faux-leather,red,457
55747,Jessica,Sloan,JS9761@outlook.com,stilettos,fabric,navy,463
86151,Donald,Page,Donald.Page@gmail.com,wedges,fabric,brown,464
61579,Gabriel,Richards,GRichards1985@gmail.com,wedges,fabric,white,464
46451,Sharon,Davidson,SD4858@gmail.com,stilettos,leather,black,467
95264,Harold,Burks,HaroldBurks68@gmail.com,stilettos,fabric,white,468
75178,Melissa,Blackwell,Melissa.Blackwell@gmail.com,sandals,leather,black,469
57305,Bryan,Boyle,BB4671@gmail.com,ballet flats,fabric,navy,474
68298,Amanda,Knight,AK6583@gmail.com,wedges,fabric,navy,474
18196,Scott,Morton,SM8647@hotmail.com,wedges,faux-leather,white,475
57860,Evelyn,Holden,Evelyn.Holden@gmail.com,ballet flats,fabric,brown,477
31063,Debra,Nichols,DNichols1991@gmail.com,sandals,faux-leather,navy,478
18731,Virginia,Shepard,VirginiaShepard73@gmail.com,sandals,fabric,white,480
53962,Andrea,Trevino,Andrea.Trevino@gmail.com,sandals,fabric,navy,482
50212,Brenda,Burnett,BrendaBurnett83@hotmail.com,sandals,fabric,navy,484
74787,James,Gill,JamesGill43@gmail.com,sandals,fabric,brown,485
15734,Dylan,Hurst,Dylan.Hurst@gmail.com,wedges,leather,brown,488
18956,Tiffany,Stone,TStone1981@gmail.com,ballet flats,leather,white,492
55835,Jeremy,Randall,JeremyRandall28@gmail.com,sandals,fabric,brown,498
68900,Eugene,Kinney,EugeneKinney89@gmail.com,ballet flats,faux-leather,black,498
